genome	number of scaffolds	taxonomy	completeness score	contamination score	5S rRNA	16S rRNA	23S rRNA	tRNA count	assembly quality
C13F5_subsampled_40Gb_bin.66	790	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp011958945	85.5	2.049				26	med
C13F5_subsampled_40Gb_bin.67	48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.42	0.754				50	med
C13F5_subsampled_40Gb_bin.68	123	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	99.9	4.319				48	med
C13F5_subsampled_40Gb_bin.69	426	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182 sp009774145	93.61	2.867				45	med
C13F5_subsampled_40Gb_bin.7	33	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	96.37	0.026	2 present			55	med
C13F5_subsampled_40Gb_bin.70	216	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	96.83	0.0				47	med
C13F5_subsampled_40Gb_bin.71	253	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp009774395	98.16	1.724				51	med
C13F5_subsampled_40Gb_bin.72	94	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__	99.36	0.0				51	med
C13F5_subsampled_40Gb_bin.73	124	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	97.16	0.377				49	med
C13F5_subsampled_40Gb_bin.74	77	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	98.1	2.215				55	med
C13F5_subsampled_40Gb_bin.75	10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	99.03	0.0				41	med
C13F5_subsampled_40Gb_bin.76	156	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp009911035	97.7	1.724				38	med
C13F5_subsampled_40Gb_bin.77	469	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp009774015	81.68	2.572	C13F5_subsampled_40Gb_bin.77_NODE_4017_length_16493_cov_3.709162 (16398, 16488)			28	med
C13F5_subsampled_40Gb_bin.78	57	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	96.48	0.699	C13F5_subsampled_40Gb_bin.78_NODE_5117_length_12742_cov_5.351103 (11821, 11930)	C13F5_subsampled_40Gb_bin.78_NODE_289_length_112575_cov_5.674419 (7337, 8847)	C13F5_subsampled_40Gb_bin.78_NODE_5117_length_12742_cov_5.351103 (8635, 11558)	45	high
C13F5_subsampled_40Gb_bin.79	43	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	99.43	0.377				46	med
C13F5_subsampled_40Gb_bin.8	51	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775535	96.41	0.0				42	med
C13F5_subsampled_40Gb_bin.80	536	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	81.48	1.908				25	med
C13F5_subsampled_40Gb_bin.81	249	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	99.34	0.632				53	med
C13F5_subsampled_40Gb_bin.82	810	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	93.46	2.298				31	med
C13F5_subsampled_40Gb_bin.83	701	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp009917555	85.43	2.531				24	med
C13F5_subsampled_40Gb_bin.9	78	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp009774455	99.42	6.417				53	med
